,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
0,Aaron Cresswell,33,LB,West Ham United,England,3.00m
1,Aaron Hickey,20,LB,Brentford FC,Scotland,18.00m
2,Aaron Long,30,CB,Los Angeles FC,United States,3.00m
3,Aarón Martín,25,LB,1.FSV Mainz 05,Spain,7.00m
4,Aaron Mooy,32,CM,Celtic FC,Australia,4.00m
5,Aaron Ramsdale,24,GK,Arsenal FC,England,30.00m
6,Aaron Ramsey,32,CM,OGC Nice,Wales,3.00m
7,Abakar Sylla,20,CB,Club Brugge KV,Cote d'Ivoire,9.00m
8,Abdallah Sima,21,RW,Angers SCO,Senegal,7.00m
9,Abdelhamid Sabiri,26,AM,UC Sampdoria,Morocco,4.00m
10,Abdelkarim Hassan,29,LB,Al-Jahra SC,Qatar,750k
11,Abdón Prats,30,CF,RCD Mallorca,Spain,1.20m
12,Abdou Diallo,26,CB,RB Leipzig,Senegal,15.00m
13,Abdou Harroui,25,CM,US Sassuolo,Morocco,3.00m
14,Abdoulaye Bamba,32,RB,Angers SCO,Cote d'Ivoire,400k
15,Abdoulaye Doucouré,30,CM,Everton FC,Mali,12.00m
16,Abdu Conté,24,LB,ESTAC Troyes,Portugal,2.50m
17,Abdul Mumin,24,CB,Rayo Vallecano,Ghana,1.50m
18,Abdul-Rahman Baba,28,LB,Reading FC,Ghana,1.80m
19,Abdul-Rahman Baba,28,LB,Reading FC,Ghana,1.80m
20,Abdulaziz Hatem,32,CM,Al-Rayyan SC,Qatar,500k
21,Abdulelah Al-Amri,26,CB,Al-Nassr FC,Saudi Arabia,1.20m
22,Achraf Dari,23,CB,Stade Brestois 29,Morocco,2.50m
23,Achraf Hakimi,24,RB,Paris Saint-Germain,Morocco,70.00m
24,Adam Armstrong,26,CF,Southampton FC,England,15.00m
25,Adam Buksa,26,CF,RC Lens,Poland,7.00m
26,Adam Hlozek,20,CF,Bayer 04 Leverkusen,Czech Republic,15.00m
27,Adam Lallana,34,AM,Brighton & Hove Albion,England,1.50m
28,Adam Marusic,30,RB,SS Lazio,Montenegro,7.50m
29,Adam Ounas,26,RW,LOSC Lille,Algeria,8.00m
30,Adam Smith,31,RB,AFC Bournemouth,England,1.50m
31,Adam Webster,28,CB,Brighton & Hove Albion,England,22.00m
32,Adama Soumaoro,30,CB,Bologna FC 1909,France,3.50m
33,Adama Traoré,27,RW,Wolverhampton Wanderers,Spain,15.00m
34,Ademola Lookman,25,SS,Atalanta BC,Nigeria,20.00m
35,Adil Aouchiche,20,AM,FC Lorient,France,3.00m
36,Adil Rami,37,CB,ESTAC Troyes,France,300k
37,Adnan Januzaj,28,RW,Basaksehir FK,Belgium,7.00m
38,Ado Onaiwu,27,CF,FC Toulouse,Japan,1.50m
39,Adrián Embarba,30,RW,UD Almería,Spain,3.00m
40,Adrian Grbic,26,CF,Valenciennes FC,Austria,1.20m
41,Adrien Hunou,29,CF,Angers SCO,France,3.50m
42,Adrien Rabiot,27,CM,Juventus FC,France,25.00m
43,Adrien Tamèze,29,DM,Hellas Verona,Cameroon,8.00m
44,Adrien Thomasson,29,AM,RC Lens,France,5.00m
45,Adrien Truffert,21,LB,Stade Rennais FC,France,15.00m
46,Agustín Álvarez,21,CF,US Sassuolo,Uruguay,8.50m
47,Agustín Marchesín,34,GK,Celta de Vigo,Argentina,3.00m
48,Agustín Rogel,25,CB,Hertha BSC,Uruguay,4.50m
49,Ahmad Nourollahi,30,CM,FC Shabab Al-Ahli Dubai,Iran,2.00m
50,Ahmed Alaaeldin,30,CF,Al-Gharafa SC,Qatar,600k
51,Aihen Muñoz,25,LB,Real Sociedad,Spain,6.00m
52,Aimar Oroz,21,AM,CA Osasuna,Spain,6.00m
53,Ainsley Maitland-Niles,25,RM,Southampton FC,England,8.00m
54,Aïssa Mandi,31,CB,Villarreal CF,Algeria,4.00m
55,Aitor Fernández,31,GK,CA Osasuna,Spain,2.50m
56,Aitor Paredes,22,CB,Bilbao Athletic,Spain,400k
57,Aitor Ruibal,26,RB,Real Betis Balompié,Spain,5.00m
58,Ajdin Hrustic,26,AM,Hellas Verona,Australia,1.80m
59,Akim Zedadka,27,RB,AJ Auxerre,Algeria,3.00m
60,Akram Afif,26,LW,Al-Sadd SC,Qatar,4.00m
61,Alan Franco,26,CB,São Paulo Futebol Clube,Argentina,2.50m
62,Alassane Plea,29,LW,Borussia Mönchengladbach,France,15.00m
63,Alban Lafont,24,GK,FC Nantes,France,16.00m
64,Alberto Grassi,27,CM,FC Empoli,Italy,2.00m
65,Alberto Moreno,30,LB,Villarreal CF,Spain,4.00m
66,Albin Ekdal,33,DM,Spezia Calcio,Sweden,800k
67,Aleix García,25,CM,Girona FC,Spain,7.00m
68,Aleix Vidal,33,RB,RCD Espanyol Barcelona,Spain,1.80m
69,Alejandro Balde,19,LB,FC Barcelona,Spain,15.00m
70,Alejandro Catena,28,CB,Rayo Vallecano,Spain,8.00m
71,Alejandro Grimaldo,27,LB,SL Benfica,Spain,20.00m
72,Alejandro Pozo,24,RB,UD Almería,Spain,3.00m
73,Aleksa Terzić,23,LB,ACF Fiorentina,Serbia,1.50m
74,Aleksandar Mitrović,28,CF,Fulham FC,Serbia,28.00m
75,Aleksandr Golovin,26,AM,AS Monaco,Russia,22.00m
76,Aleksey Miranchuk,27,AM,Torino FC,Russia,10.00m
77,Alessandro Bastoni,23,CB,Inter Milan,Italy,55.00m
78,Alessandro Buongiorno,23,CB,Torino FC,Italy,5.00m
79,Alessandro Zanoli,22,RB,UC Sampdoria,Italy,4.00m
80,Alessio Romagnoli,28,CB,SS Lazio,Italy,18.00m
81,Alessio Zerbin,23,LW,SSC Napoli,Italy,4.00m
82,Álex Baena,21,LW,Villarreal CF,Spain,15.00m
83,Álex Berenguer,27,LW,Athletic Bilbao,Spain,15.00m
84,Álex Collado,23,RW,Elche CF,Spain,5.00m
85,Álex Fernández,30,AM,Cádiz CF,Spain,5.00m
86,Alex Ferrari,28,CB,US Cremonese,Italy,1.50m
87,Alex Iwobi,26,AM,Everton FC,Nigeria,25.00m
